LInk;Tail;Head;Polarity;Delay;Biome;Regime Shift;Scale
45;Irrigation;Water infrastructure development;1;0;Dry lands;Bush encroachment;
46;Water infrastructure development;Aquifers;-1;0;Dry lands;Bush encroachment;
47;Aquifers;Water availability;-1;0;Dry lands;Bush encroachment;
48;Water availability;Grass;1;0;Dry lands;Bush encroachment;
49;Water availability;Woody plants;1;0;Dry lands;Bush encroachment;
50;GHG;Climate change;1;0;Dry lands;Bush encroachment;
51;GHG;CO2 in atmosphere;1;0;Dry lands;Bush encroachment;
52;CO2 in atmosphere;Woody plants;1;1;Dry lands;Bush encroachment;
53;Climate change;Rainfall variability;1;0;Dry lands;Bush encroachment;
54;Rainfall variability;Droughts and dry spells;1;0;Dry lands;Bush encroachment;
55;Rainfall variability;Floods;1;0;Dry lands;Bush encroachment;
56;Droughts and dry spells;Water availability;-1;0;Dry lands;Bush encroachment;
57;Floods;Water availability;1;0;Dry lands;Bush encroachment;
58;Woody plants;Roots;1;0;Dry lands;Bush encroachment;
59;Roots;Soil moisture;1;0;Dry lands;Bush encroachment;
60;Soil moisture;Woody plants;1;0;Dry lands;Bush encroachment;
61;Woody plants;Palatability;-1;0;Dry lands;Bush encroachment;
62;Palatability;Grazers;1;0;Dry lands;Bush encroachment;
63;Woody plants;Tree maturity;1;1;Dry lands;Bush encroachment;
64;Tree maturity;Fire;-1;1;Dry lands;Bush encroachment;
65;Woody plants;Grass;-1;0;Dry lands;Bush encroachment;
66;Fire;Woody plants;-1;0;Dry lands;Bush encroachment;
68;Grass;Woody plants;-1;0;Dry lands;Bush encroachment;
69;Fire;Grass;-1;0;Dry lands;Bush encroachment;
70;Grass;Fire;1;0;Dry lands;Bush encroachment;
71;Agriculture;Fertiliser use;1;0;Dry lands;Soil Salinization;
72;Agriculture;Deforestation;1;0;Dry lands;Soil Salinization;
73;Agriculture;Croplands;1;0;Dry lands;Soil Salinization;
74;Fertiliser use;Soil productivity;1;0;Dry lands;Soil Salinization;
75;Soil productivity;Native vegetation;1;0;Dry lands;Soil Salinization;
76;Soil productivity;Croplands;1;0;Dry lands;Soil Salinization;
77;Deforestation;Soil erosion;1;1;Dry lands;Soil Salinization;
78;Deforestation;Native vegetation;-1;0;Dry lands;Soil Salinization;
79;Deforestation;Croplands;1;0;Dry lands;Soil Salinization;
80;Croplands;Water use;1;0;Dry lands;Soil Salinization;
81;Water use;Water demand;1;0;Dry lands;Soil Salinization;
82;Water demand;Irrigation;1;1;Dry lands;Soil Salinization;
83;Irrigation;Croplands;1;0;Dry lands;Soil Salinization;
84;Irrigation;Groundwater table;1;0;Dry lands;Soil Salinization;
85;Groundwater table;Soil salinity;1;0;Dry lands;Soil Salinization;
86;Soil salinity;Soil productivity;-1;0;Dry lands;Soil Salinization;
87;Native vegetation;Croplands;-1;0;Dry lands;Soil Salinization;
88;Native vegetation;Grazers;-1;0;Dry lands;Soil Salinization;
89;Croplands;Native vegetation;-1;0;Dry lands;Soil Salinization;
90;Grazers;Native vegetation;-1;0;Dry lands;Soil Salinization;
91;Grazers;Deforestation;1;0;Dry lands;Soil Salinization;
92;Sea tides;Soil salinity;1;0;Dry lands;Soil Salinization;
93;Climate change;Floods;1;0;Dry lands;Soil Salinization;
94;Climate change;Droughts and dry spells;1;0;Dry lands;Soil Salinization;
95;Floods;Groundwater table;1;0;Dry lands;Soil Salinization;
96;Droughts and dry spells;Groundwater table;-1;0;Dry lands;Soil Salinization;
97;Native vegetation;Roots;1;0;Dry lands;Soil Salinization;
98;Roots;Evapotranspiration;1;0;Dry lands;Soil Salinization;
99;Evapotranspiration;Groundwater table;-1;0;Dry lands;Soil Salinization;
100;Soil erosion;Soil productivity;-1;1;Dry lands;Soil Salinization;
101;Hunting;Grazers;-1;0;Dry lands;Steppe to Tundra;
102;Grazers;Surface leaf litter;1;0;Dry lands;Steppe to Tundra;
103;Surface leaf litter;Summer soil temperature;1;0;Dry lands;Steppe to Tundra;
104;Summer soil temperature;Soil moisture;1;0;Dry lands;Steppe to Tundra;
105;Soil moisture;Soil nutrients;-1;0;Dry lands;Steppe to Tundra;
106;Soil moisture;Tundra vegetation;1;0;Dry lands;Steppe to Tundra;
107;Tundra vegetation;Steppe vegetation;-1;0;Dry lands;Steppe to Tundra;
108;Tundra vegetation;Soil moisture;1;0;Dry lands;Steppe to Tundra;
109;Tundra vegetation;Soil nutrients;-1;0;Dry lands;Steppe to Tundra;
110;Soil nutrients;Steppe vegetation;1;0;Dry lands;Steppe to Tundra;
111;Steppe vegetation;Tundra vegetation;-1;0;Dry lands;Steppe to Tundra;
112;Steppe vegetation;Soil moisture;-1;0;Dry lands;Steppe to Tundra;
113;Steppe vegetation;Surface leaf litter;1;0;Dry lands;Steppe to Tundra;
114;Steppe vegetation;Grazers;1;0;Dry lands;Steppe to Tundra;
115;Grazers;Feces deposition;1;0;Dry lands;Steppe to Tundra;
116;Feces deposition;Soil nutrients;1;0;Dry lands;Steppe to Tundra;
117;Climate change;Temperature;1;0;Dry lands;Steppe to Tundra;
118;Temperature;Soil moisture;-1;0;Dry lands;Steppe to Tundra;
119;Grazers;Trampling;1;0;Dry lands;Steppe to Tundra;
120;Trampling;Tundra vegetation;1;0;Dry lands;Steppe to Tundra;
123;Storms;Habitat structure;1;0;Marine;Kelps transitions;
124;Turf-forming algae;Habitat structure;-1;0;Marine;Kelps transitions;
125;Canopy-forming algae;Habitat structure;1;0;Marine;Kelps transitions;
126;Habitat structure;Marine biodiversity;1;0;Marine;Kelps transitions;
127;Marine biodiversity;Canopy-forming algae;1;0;Marine;Kelps transitions;
128;Canopy-forming algae;Turf-forming algae;-1;0;Marine;Kelps transitions;
129;Canopy-forming algae;Urchin barrens;1;0;Marine;Kelps transitions;
131;Turf-forming algae;Canopy-forming algae;-1;0;Marine;Kelps transitions;
133;Turf-forming algae;Urchin barrens;1;0;Marine;Kelps transitions;
134;Urchin barrens;Turf-forming algae;-1;0;Marine;Kelps transitions;
135;Urchin barrens;Canopy-forming algae;-1;0;Marine;Kelps transitions;
136;Urchin barrens;Meso predators;1;0;Marine;Kelps transitions;
137;Meso predators;Apex predators;1;0;Marine;Kelps transitions;
138;Meso predators;Urchin barrens;-1;0;Marine;Kelps transitions;
139;Apex predators;Meso predators;-1;0;Marine;Kelps transitions;
140;Meso predators;Marine biodiversity;1;0;Marine;Kelps transitions;
141;Apex predators;Marine biodiversity;1;0;Marine;Kelps transitions;
142;Water turbidity;Turf-forming algae;1;0;Marine;Kelps transitions;
143;Nutrients;Turf-forming algae;1;0;Marine;Kelps transitions;
144;Nutrients;Sedimentation;1;0;Marine;Kelps transitions;
145;Sedimentation;Water turbidity;1;0;Marine;Kelps transitions;
146;Floods;Sedimentation;1;0;Marine;Kelps transitions;
147;Precipitation;Floods;1;0;Marine;Kelps transitions;
148;Upwelling;Nutrients;1;0;Marine;Kelps transitions;
149;Sewage;Nutrients;1;0;Marine;Kelps transitions;
150;Urban water runoff;Nutrients;1;0;Marine;Kelps transitions;
151;Urbanization;Sewage;1;0;Marine;Kelps transitions;
152;Urbanization;Urban water runoff;1;0;Marine;Kelps transitions;
153;Soil erosion;Nutrients;1;0;Marine;Kelps transitions;
154;Fertiliser use;Nutrients;1;0;Marine;Kelps transitions;
155;Deforestation;Soil erosion;1;0;Marine;Kelps transitions;
156;Agriculture;Deforestation;1;0;Marine;Kelps transitions;
157;Agriculture;Fertiliser use;1;0;Marine;Kelps transitions;
158;Demand for food and fiber;Agriculture;1;0;Marine;Kelps transitions;
159;Demand for food and fiber;Logging;1;0;Marine;Kelps transitions;
160;Logging;Deforestation;1;0;Marine;Kelps transitions;
161;Demand for food and fiber;Fishing;1;0;Marine;Kelps transitions;
162;Fishing;Meso predators;-1;0;Marine;Kelps transitions;
163;Fishing;Apex predators;-1;0;Marine;Kelps transitions;
164;GHG;Climate change;1;0;Marine;Kelps transitions;
165;Climate change;Sea surface temperature;1;0;Marine;Kelps transitions;
166;Climate change;ENSO-like frequency events;1;0;Marine;Kelps transitions;
167;Sea surface temperature;Water stratification;1;0;Marine;Kelps transitions;
168;ENSO-like frequency events;Water stratification;1;0;Marine;Kelps transitions;
169;Water stratification;Upwelling;-1;0;Marine;Kelps transitions;
170;Sea surface temperature;Water vapor;1;0;Marine;Kelps transitions;
171;Water vapor;Wind stress;1;0;Marine;Kelps transitions;
172;Wind stress;Upwelling;1;0;Marine;Kelps transitions;
173;Sea surface temperature;Urchin barrens;-1;0;Marine;Kelps transitions;
174;GHG;Climate change;1;0;Marine;Fisheries collapse;
175;Climate change;Sea surface temperature;1;0;Marine;Fisheries collapse;
176;Climate change;ENSO-like frequency events;1;0;Marine;Fisheries collapse;
177;Sea surface temperature;Water stratification;1;0;Marine;Fisheries collapse;
178;ENSO-like frequency events;Water stratification;1;0;Marine;Fisheries collapse;
179;Sea surface temperature;Water vapor;1;0;Marine;Fisheries collapse;
180;Water vapor;Wind stress;1;0;Marine;Fisheries collapse;
181;Water stratification;Upwelling;-1;0;Marine;Fisheries collapse;
182;Wind stress;Upwelling;1;0;Marine;Fisheries collapse;
183;Upwelling;Nutrients;1;0;Marine;Fisheries collapse;
184;Urbanization;Sewage;1;0;Marine;Fisheries collapse;
185;Sewage;Nutrients;1;0;Marine;Fisheries collapse;
186;Nutrients;Phytoplankton;1;0;Marine;Fisheries collapse;
187;Agriculture;Fertiliser use;1;0;Marine;Fisheries collapse;
188;Fertiliser use;Nutrients;1;0;Marine;Fisheries collapse;
189;Agriculture;Deforestation;1;0;Marine;Fisheries collapse;
190;Deforestation;Soil erosion;1;0;Marine;Fisheries collapse;
191;Soil erosion;Nutrients;1;0;Marine;Fisheries collapse;
192;Fishing;Fish commercially important;-1;0;Marine;Fisheries collapse;
193;Fish commercially important;Mating probability;1;0;Marine;Fisheries collapse;
194;Mating probability;Fish commercially important;1;0;Marine;Fisheries collapse;
195;Fish commercially important;Competitors on same functional group;-1;0;Marine;Fisheries collapse;
196;Competitors on same functional group;Fish commercially important;-1;0;Marine;Fisheries collapse;
197;Fish commercially important;Meso predators;1;0;Marine;Fisheries collapse;
198;Meso predators;Fish commercially important;-1;0;Marine;Fisheries collapse;
199;Fish commercially important;Apex predators;1;0;Marine;Fisheries collapse;
200;Apex predators;Fish commercially important;-1;0;Marine;Fisheries collapse;
201;Apex predators;Meso predators;-1;0;Marine;Fisheries collapse;
202;Meso predators;Apex predators;1;1;Marine;Fisheries collapse;
203;Meso predators;Jelly fish;-1;0;Marine;Fisheries collapse;
204;Jelly fish;Meso predators;1;0;Marine;Fisheries collapse;
205;Meso predators;Zooplankton;-1;0;Marine;Fisheries collapse;
206;Zooplankton;Meso predators;1;0;Marine;Fisheries collapse;
207;Zooplankton;Phytoplankton;-1;0;Marine;Fisheries collapse;
208;Phytoplankton;Zooplankton;1;0;Marine;Fisheries collapse;
209;Jelly fish;Phytoplankton;-1;0;Marine;Fisheries collapse;
210;Phytoplankton;Jelly fish;1;0;Marine;Fisheries collapse;
211;GHG;Climate change;1;0;Earth System;Arctic Sea-Ice Loss;
212;Climate change;Temperature;1;0;Earth System;Arctic Sea-Ice Loss;
213;Temperature;Arctic sea ice volume;-1;0;Earth System;Arctic Sea-Ice Loss;
214;Arctic sea ice volume;Open water;-1;0;Earth System;Arctic Sea-Ice Loss;
215;Open water;Albedo;-1;0;Earth System;Arctic Sea-Ice Loss;
216;Albedo;Absorption of solar radiation;-1;0;Earth System;Arctic Sea-Ice Loss;
217;Absorption of solar radiation;Temperature;1;0;Earth System;Arctic Sea-Ice Loss;
218;Open water;Wind fetch;1;0;Earth System;Arctic Sea-Ice Loss;
219;Wind fetch;Warm water;1;0;Earth System;Arctic Sea-Ice Loss;Is warm water the same as SST
220;Warm water;Arctic sea ice volume;-1;0;Earth System;Arctic Sea-Ice Loss;
221;Warm water;Ice cyclonic circulation;1;0;Earth System;Arctic Sea-Ice Loss;
222;Wind fetch;Ice cyclonic circulation;1;0;Earth System;Arctic Sea-Ice Loss;
223;Ice cyclonic circulation;Openings on ice cover;1;0;Earth System;Arctic Sea-Ice Loss;
224;Openings on ice cover;Young thin ice;1;0;Earth System;Arctic Sea-Ice Loss;
225;Young thin ice;Heat fluxes in summer;1;0;Earth System;Arctic Sea-Ice Loss;
226;Heat fluxes in summer;Temperature;1;0;Earth System;Arctic Sea-Ice Loss;
227;Wind fetch;Cold halocline layer;-1;0;Earth System;Arctic Sea-Ice Loss;
228;Cold halocline layer;Ice-ocean heat exchange;1;0;Earth System;Arctic Sea-Ice Loss;
229;Ice-ocean heat exchange;Temperature;-1;0;Earth System;Arctic Sea-Ice Loss;
230;Temperature;Sea surface temperature;1;0;Coastal;Salt marshes to tidal flats;
231;Sea surface temperature;Water density;-1;0;Coastal;Salt marshes to tidal flats;
232;Water density;Sea level rise;-1;0;Coastal;Salt marshes to tidal flats;
233;Sea level rise;Platform elevation;-1;0;Coastal;Salt marshes to tidal flats;
234;Temperature;Ice and permafrost melting;1;0;Coastal;Salt marshes to tidal flats;
235;Ice and permafrost melting;Sea level rise;1;0;Coastal;Salt marshes to tidal flats;
236;Platform elevation;Habitat area;1;0;Coastal;Salt marshes to tidal flats;
237;Habitat area;Salt marshes;1;0;Coastal;Salt marshes to tidal flats;
238;Salt marshes;Soil build up;1;0;Coastal;Salt marshes to tidal flats;
239;Soil build up;Platform elevation;1;0;Coastal;Salt marshes to tidal flats;
240;Waves;Soil build up;-1;0;Coastal;Salt marshes to tidal flats;
241;Salt marshes;Salinity;-1;0;Coastal;Salt marshes to tidal flats;
242;Salinity;Salt marshes;-1;0;Coastal;Salt marshes to tidal flats;
243;Salt marshes;Herbivores;1;0;Coastal;Salt marshes to tidal flats;
244;Herbivores;Salt marshes;-1;0;Coastal;Salt marshes to tidal flats;
245;Herbivores;Meso predators;1;0;Coastal;Salt marshes to tidal flats;
246;Meso predators;Herbivores;-1;0;Coastal;Salt marshes to tidal flats;
247;Harvest;Meso predators;-1;0;Coastal;Salt marshes to tidal flats;
248;Disease;Meso predators;-1;0;Coastal;Salt marshes to tidal flats;
249;Dams;Sedimentation;-1;0;Coastal;Salt marshes to tidal flats;
250;Sedimentation;Soil build up;1;0;Coastal;Salt marshes to tidal flats;
251;Agriculture;Soil erosion;1;0;Coastal;Salt marshes to tidal flats;
252;Agriculture;Fertiliser use;1;0;Coastal;Salt marshes to tidal flats;
253;Soil erosion;Sedimentation;1;0;Coastal;Salt marshes to tidal flats;
254;Fertiliser use;Nutrients;1;0;Coastal;Salt marshes to tidal flats;
255;Nutrients;Herbivores;1;0;Coastal;Salt marshes to tidal flats;
256;Nutrients;Salt marshes;-1;0;Coastal;Salt marshes to tidal flats;
257;GHG;Climate change;1;0;Coastal;Mangroves transitions;
258;GHG;Ocean acidification;1;0;Coastal;Mangroves transitions;
259;Ocean acidification;Corals;-1;0;Coastal;Mangroves transitions;
260;Corals;Coastal erosion;-1;0;Coastal;Mangroves transitions;
261;Coastal erosion;Peat soils;-1;0;Coastal;Mangroves transitions;
262;Peat soils;Carbon storage;1;0;Coastal;Mangroves transitions;
263;Carbon storage;Climate change;-0,5;0;Coastal;Mangroves transitions;
264;Climate change;Temperature;1;0;Coastal;Mangroves transitions;
265;Temperature;Sea surface temperature;1;0;Coastal;Mangroves transitions;
266;Sea surface temperature;Sea level rise;1;0;Coastal;Mangroves transitions;
267;Sea level rise;Deepness;1;0;Coastal;Mangroves transitions;
268;Sea level rise;Salinity;1;0;Coastal;Mangroves transitions;
269;Salinity;Mangroves;-1;0;Coastal;Mangroves transitions;
270;Mangroves;Peat soils;1;0;Coastal;Mangroves transitions;
271;Peat soils;Deepness;-1;0;Coastal;Mangroves transitions;
272;Deepness;Mangroves;-1;0;Coastal;Mangroves transitions;
273;Hurricanes;Mangroves;-1;0;Coastal;Mangroves transitions;
274;Agriculture;Irrigation;1;0;Coastal;Mangroves transitions;
275;Irrigation;Water mixing;-1;0;Coastal;Mangroves transitions;
276;Water mixing;Mangroves;1;0;Coastal;Mangroves transitions;
277;Agriculture;Deforestation;1;0;Coastal;Mangroves transitions;
278;Deforestation;Mangroves;-1;0;Coastal;Mangroves transitions;
279;Urbanization;Roads and water chanels;1;0;Coastal;Mangroves transitions;
280;Roads and water chanels;Water mixing;-1;0;Coastal;Mangroves transitions;
281;Aquaculture;Deforestation;1;0;Coastal;Mangroves transitions;
282;Aquaculture;Shrimp farming;1;0;Coastal;Mangroves transitions;
283;Shrimp farming;Mangroves;-1;0;Coastal;Mangroves transitions;
284;Mangroves;Shrimp production;1;0;Coastal;Mangroves transitions;
285;Shrimp production;Shrimp farming;1;0;Coastal;Mangroves transitions;
286;Mangroves;Salt marshes;-1;0;Coastal;Mangroves transitions;
287;Salt marshes;Mangroves;-1;0;Coastal;Mangroves transitions;
288;Mangroves;Fragmentation;-0,5;0;Coastal;Mangroves transitions;
289;Fragmentation;Mangroves;-1;0;Coastal;Mangroves transitions;
290;Rainfall variability;Floods;1;0;Coastal;Mangroves transitions;
291;Rainfall variability;Droughts and dry spells;1;0;Coastal;Mangroves transitions;
292;Floods;Sedimentation;1;0;Coastal;Mangroves transitions;
293;Droughts and dry spells;Sedimentation;-1;0;Coastal;Mangroves transitions;
294;Sedimentation;Peat soils;1;0;Coastal;Mangroves transitions;
295;Aquaculture;Disease;1;0;Marine;Bivalves collapse;
296;Disease;Bivalves;-1;0;Marine;Bivalves collapse;
297;Hurricanes;Bivalves;-1;0;Marine;Bivalves collapse;
298;Bivalves;Dissolved oxygen;1;0;Marine;Bivalves collapse;
299;Dissolved oxygen;Biodiversity;1;0;Marine;Bivalves collapse;
300;Bivalves;Habitat structure;1;0;Marine;Bivalves collapse;
301;Habitat structure;Biodiversity;1;0;Marine;Bivalves collapse;
302;Biodiversity;Bivalves;-1;0;Marine;Bivalves collapse;
303;Bivalves;Local water movement;1;0;Marine;Bivalves collapse;
304;Local water movement;Filtration;1;0;Marine;Bivalves collapse;
305;Filtration;Water turbidity;-1;0;Marine;Bivalves collapse;
306;Water turbidity;Bivalves;-1;0;Marine;Bivalves collapse;
307;Filtration;Nutrients;-1;0;Marine;Bivalves collapse;
308;Nutrients;Phytoplankton/algae;1;0;Marine;Bivalves collapse;
309;Phytoplankton/algae;Bivalves;-1;0;Marine;Bivalves collapse;
310;Phytoplankton/algae;Herbivore fish;1;0;Marine;Bivalves collapse;
311;Herbivore fish;Phytoplankton/algae;-1;0;Marine;Bivalves collapse;
312;Fishing;Herbivore fish;-1;0;Marine;Bivalves collapse;
313;Herbivore fish;Fishing;0,5;0;Marine;Bivalves collapse;
314;Phytoplankton/algae;Dissolved oxygen;-0,5;0;Marine;Bivalves collapse;
315;Demand for food and fiber;Fishing;1;0;Marine;Bivalves collapse;
316;Demand for food and fiber;Harvest;1;0;Marine;Bivalves collapse;
317;Harvest;Bivalves;-1;0;Marine;Bivalves collapse;
318;Bivalves;Harvest;0,5;0;Marine;Bivalves collapse;
319;Demand for food and fiber;Logging;1;0;Marine;Bivalves collapse;
320;Logging;Deforestation;1;0;Marine;Bivalves collapse;
321;Demand for food and fiber;Agriculture;1;0;Marine;Bivalves collapse;
322;Agriculture;Deforestation;1;0;Marine;Bivalves collapse;
323;Deforestation;Soil erosion;1;0;Marine;Bivalves collapse;
324;Agriculture;Soil erosion;1;0;Marine;Bivalves collapse;
325;Agriculture;Fertiliser use;1;0;Marine;Bivalves collapse;
326;Fertiliser use;Nutrients;1;0;Marine;Bivalves collapse;
327;Soil erosion;Nutrients;1;0;Marine;Bivalves collapse;
328;Soil erosion;Sedimentation;1;0;Marine;Bivalves collapse;
329;Sedimentation;Water turbidity;1;0;Marine;Bivalves collapse;
330;Sedimentation;Bivalves;-1;0;Marine;Bivalves collapse;
331;Precipitation;Floods;1;0;Marine;Bivalves collapse;
332;Precipitation;Urban water runoff;1;0;Marine;Bivalves collapse;
333;Floods;Nutrients;1;0;Marine;Bivalves collapse;
334;Floods;Sedimentation;1;0;Marine;Bivalves collapse;
335;Urbanization;Urban water runoff;1;0;Marine;Bivalves collapse;
336;Urban water runoff;Nutrients;1;0;Marine;Bivalves collapse;
337;Urbanization;Sewage;1;0;Marine;Bivalves collapse;
338;Sewage;Nutrients;1;0;Marine;Bivalves collapse;
339;GHG;Climate change;1;0;Marine;Coral transitions;
340;Climate change;Sea surface temperature;1;0;Marine;Coral transitions;
341;GHG;Ocean acidification;1;0;Marine;Coral transitions;
342;Ocean acidification;Corals;-1;0;Marine;Coral transitions;
343;Urbanization;Pollutants;1;0;Marine;Coral transitions;Are these pollutants the same as sediments and turbidity?
344;Pollutants;Corals;-1;0;Marine;Coral transitions;
345;Sea surface temperature;Zooxanthellae;-1;0;Marine;Coral transitions;
346;Zooxanthellae;Corals;1;0;Marine;Coral transitions;
347;Corals;Zooxanthellae;1;0;Marine;Coral transitions;
348;Thermal annomalies;Sea surface temperature;1;0;Marine;Coral transitions;
349;Deforestation;Sedimentation;1;0;Marine;Coral transitions;
350;Sedimentation;Water turbidity;1;0;Marine;Coral transitions;
351;Water turbidity;Corals;-1;0;Marine;Coral transitions;
352;Agriculture;Nutrients;1;0;Marine;Coral transitions;
353;Nutrients;Water turbidity;1;0;Marine;Coral transitions;
354;Nutrients;Macroalgae;1;0;Marine;Coral transitions;
355;Low tides;Corals;-1;0;Marine;Coral transitions;
356;Corals;Macroalgae;-1;0;Marine;Coral transitions;
357;Macroalgae;Corals;-1;0;Marine;Coral transitions;
358;Low tides;Macroalgae;-1;0;Marine;Coral transitions;
359;Low tides;Other competitors;-1;0;Marine;Coral transitions;
360;Other competitors;Macroalgae;-1;0;Marine;Coral transitions;
361;Corals;Other competitors;-1;0;Marine;Coral transitions;
362;Other competitors;Corals;-1;0;Marine;Coral transitions;
363;Corals;Disease(corals);1;0;Marine;Coral transitions;
364;Disease(corals);Corals;-1;0;Marine;Coral transitions;
365;Hurricanes;Corals;-1;0;Marine;Coral transitions;
366;Hurricanes;Sea surface temperature;-0,5;0;Marine;Coral transitions;
367;Demand for food and fiber;Agriculture;1;0;Marine;Coral transitions;
368;Demand for food and fiber;Fishing;1;0;Marine;Coral transitions;
369;Fishing;Apex predators;-1;0;Marine;Coral transitions;
370;Fishing;Herbivore fish;-1;0;Marine;Coral transitions;
371;Apex predators;Herbivore fish;-1;0;Marine;Coral transitions;
372;Herbivore fish;Apex predators;1;0;Marine;Coral transitions;
373;Herbivore fish;Disease(herbivores);1;0;Marine;Coral transitions;
374;Disease(herbivores);Herbivore fish;-1;0;Marine;Coral transitions;
375;Herbivore fish;Macroalgae;-1;0;Marine;Coral transitions;
376;Macroalgae;Unpalability;1;0;Marine;Coral transitions;
377;Unpalability;Macroalgae;1;0;Marine;Coral transitions;
378;Unpalability;Herbivore fish;-1;0;Marine;Coral transitions;
379;Demand for food and fiber;Fishing;1;0;Freshwater;Freshwater eutrophication;
380;Demand for food and fiber;Deforestation;1;0;Freshwater;Freshwater eutrophication;
381;Demand for food and fiber;Agriculture;1;0;Freshwater;Freshwater eutrophication;
382;Deforestation;Fragmentation;1;0;Freshwater;Freshwater eutrophication;
383;Fragmentation;Soil erosion;1;0;Freshwater;Freshwater eutrophication;
384;Agriculture;Fragmentation;1;0;Freshwater;Freshwater eutrophication;
385;Agriculture;Irrigation;1;0;Freshwater;Freshwater eutrophication;
386;Irrigation;Soil erosion;1;0;Freshwater;Freshwater eutrophication;
387;Soil erosion;Nutrients;1;0;Freshwater;Freshwater eutrophication;
388;Agriculture;Fertiliser use;1;0;Freshwater;Freshwater eutrophication;
389;Fertiliser use;Nutrients;1;0;Freshwater;Freshwater eutrophication;
390;Human population;Demand for food and fiber;1;0;Freshwater;Freshwater eutrophication;
391;Human population;Urbanization;1;0;Freshwater;Freshwater eutrophication;
392;Urbanization;Sewage;1;0;Freshwater;Freshwater eutrophication;
393;Urbanization;Urban water runoff;1;0;Freshwater;Freshwater eutrophication;
394;Urban water runoff;Nutrients;1;0;Freshwater;Freshwater eutrophication;
395;Sewage;Nutrients;1;0;Freshwater;Freshwater eutrophication;
396;Nutrients;P in water;1;0;Freshwater;Freshwater eutrophication;
397;Climate change;Rainfall variability;1;0;Freshwater;Freshwater eutrophication;
398;Rainfall variability;Droughts and dry spells;1;0;Freshwater;Freshwater eutrophication;
399;Rainfall variability;Floods;1;0;Freshwater;Freshwater eutrophication;
400;Droughts and dry spells;Flushing;-1;0;Freshwater;Freshwater eutrophication;
401;Floods;Flushing;1;0;Freshwater;Freshwater eutrophication;
402;Dams;Flushing;-1;0;Freshwater;Freshwater eutrophication;
403;Flushing;P in water;-1;0;Freshwater;Freshwater eutrophication;
404;Fishing;Apex predators;-1;0;Freshwater;Freshwater eutrophication;
405;Fishing;Fish;-1;0;Freshwater;Freshwater eutrophication;
406;Apex predators;Fish;-1;0;Freshwater;Freshwater eutrophication;
407;Fish;Apex predators;1;0;Freshwater;Freshwater eutrophication;
408;Fish;Macrophytes;-1;0;Freshwater;Freshwater eutrophication;
409;Macrophytes;Fish;1;0;Freshwater;Freshwater eutrophication;
410;Dissolved oxygen;Fish;-1;0;Freshwater;Freshwater eutrophication;
